id_pedido,fecha,anio,mes,trimestre,id_cliente,id_producto,categoria,region,segmento,cantidad,precio_unit,descuento,ratio_costo,ingreso,costo,ganancia,margen,tasa_impuesto,ganancia_neta,margen_neto,nivel_pedido,es_atipico
1015,2023-01-16,2023,1,1,199,2191,Belleza,Oeste,Mayorista,17,9.89,0.25,0.58,126.1,73.14,52.96,0.42,0.18,43.43,0.3444,Medio,0
1016,2023-02-17,2023,2,1,763,2498,Belleza,Este,Online,9,156.47,0.2,0.607,1126.58,683.83,442.75,0.393,0.21,349.77,0.3105,Premium,0
1017,2023-04-22,2023,4,2,230,2309,Belleza,Este,Mayorista,9,199.22,0.25,0.434,1344.74,583.62,761.12,0.566,0.21,601.28,0.4471,Premium,0
1018,2023-04-30,2023,4,2,761,2199,Alimentos,Oeste,Corporativo,5,256.8,0.2,0.567,1027.2,582.42,444.78,0.433,0.18,364.72,0.3551,Premium,0
1019,2023-09-16,2023,9,3,408,2232,Ropa,Sur,Mayorista,7,36.98,0.15,0.747,220.03,164.36,55.67,0.253,0.19,45.09,0.2049,Alto,0
1020,2023-11-05,2023,11,4,443,2432,Belleza,Centro,Retail,11,267.28,0.15,0.431,2499.07,1077.1,1421.97,0.569,0.19,1151.8,0.4609,Premium,0
1021,2023-01-14,2023,1,1,591,2226,Libros,Norte,Mayorista,8,140.29,0.05,0.582,1066.2,620.53,445.67,0.418,0.19,360.99,0.3386,Premium,0
1022,2023-10-15,2023,10,4,513,2370,Alimentos,Centro,Mayorista,14,399.04,0.25,0.503,4189.92,2107.53,2082.39,0.497,0.19,1686.74,0.4026,Premium,0
1023,2023-04-12,2023,4,2,485,2138,Alimentos,Norte,Online,2,8.99,0.2,0.589,14.38,8.47,5.91,0.411,0.19,4.79,0.3331,Bajo,0
1024,2023-11-29,2023,11,4,291,2343,Belleza,Centro,Online,10,422.05,0.15,0.601,3587.42,2156.04,1431.38,0.399,0.19,1159.42,0.3232,Premium,0
1025,2023-12-26,2023,12,4,376,2304,Libros,Este,Retail,16,477.6,0.15,0.602,6495.36,3910.21,2585.15,0.398,0.21,2042.27,0.3144,Premium,0
1026,2023-10-07,2023,10,4,260,2148,Deportes,Sur,Online,16,359.49,0.25,0.698,4313.88,3011.09,1302.79,0.302,0.19,1055.26,0.2446,Premium,0
1027,2023-08-03,2023,8,3,559,2114,Alimentos,Este,Retail,19,368.15,0.05,0.536,6645.11,3561.78,3083.33,0.464,0.21,2435.83,0.3666,Premium,0
1028,2023-04-23,2023,4,2,413,2449,Belleza,Sur,Corporativo,11,467.11,0.0,0.581,5138.21,2985.3,2152.91,0.419,0.19,1743.86,0.3394,Premium,0
1029,2023-08-18,2023,8,3,121,2062,Hogar,Oeste,Retail,6,108.49,0.1,0.404,585.85,236.68,349.17,0.596,0.18,286.32,0.4887,Alto,0
1030,2023-10-29,2023,10,4,352,2103,Electrónica,Norte,Mayorista,6,497.31,0.05,0.676,2834.67,1916.24,918.43,0.324,0.19,743.93,0.2624,Premium,0
1031,2023-05-23,2023,5,2,660,2338,Ropa,Norte,Retail,7,387.87,0.1,0.491,2443.58,1199.8,1243.78,0.509,0.19,1007.46,0.4123,Premium,0
1032,2023-01-04,2023,1,1,574,2358,Alimentos,Oeste,Corporativo,16,364.65,0.05,0.686,5542.68,3802.28,1740.4,0.314,0.18,1427.13,0.2575,Premium,0
1033,2023-03-23,2023,3,1,158,2155,Hogar,Centro,Mayorista,13,183.74,0.05,0.493,2269.19,1118.71,1150.48,0.507,0.19,931.89,0.4107,Premium,0
1034,2023-12-24,2023,12,4,610,2272,Hogar,Oeste,Retail,3,275.16,0.0,0.404,825.48,333.49,491.99,0.596,0.18,403.43,0.4887,Alto,0
1035,2023-08-05,2023,8,3,781,2005,Alimentos,Oeste,Online,9,328.69,0.15,0.454,2514.48,1141.57,1372.91,0.546,0.18,1125.79,0.4477,Premium,0
1036,2023-06-24,2023,6,2,575,2146,Deportes,Sur,Online,3,259.945,0.2,0.745,623.87,464.78,159.09,0.255,0.19,128.86,0.2065,Alto,0
1037,2023-05-23,2023,5,2,799,2183,Electrónica,Oeste,Online,6,353.97,0.05,0.512,2017.63,1033.03,984.6,0.488,0.18,807.37,0.4002,Premium,0
1038,2023-03-21,2023,3,1,289,2485,Ropa,Norte,Retail,17,45.78,0.0,0.438,778.26,340.88,437.38,0.562,0.19,354.28,0.4552,Alto,0
1039,2023-04-21,2023,4,2,786,2027,Alimentos,Este,Retail,3,181.05,0.1,0.442,488.84,216.07,272.77,0.558,0.21,215.49,0.4408,Alto,0
1040,2023-06-22,2023,6,2,662,2449,Ropa,Sur,Corporativo,2,219.83,0.25,0.509,329.74,167.84,161.9,0.491,0.19,131.14,0.3977,Alto,0
1041,2023-02-22,2023,2,1,666,2037,Libros,Sur,Mayorista,12,134.01,0.25,0.413,1206.09,498.12,707.97,0.587,0.19,573.46,0.4755,Premium,0
1042,2023-02-17,2023,2,1,343,2118,Hogar,Centro,Mayorista,6,90.45,0.15,0.579,461.3,267.09,194.21,0.421,0.19,157.31,0.341,Alto,0
1043,2023-07-14,2023,7,3,604,2292,Hogar,Este,Mayorista,10,73.77,0.25,0.475,553.28,262.81,290.47,0.525,0.21,229.47,0.4147,Alto,0
1044,2023-02-19,2023,2,1,230,2370,Alimentos,Sur,Mayorista,11,186.36,0.05,0.582,1947.46,1133.42,814.04,0.418,0.19,659.37,0.3386,Premium,0
1045,2023-07-03,2023,7,3,584,2243,Alimentos,Oeste,Retail,16,249.25,0.1,0.449,3589.2,1611.55,1977.65,0.551,0.18,1621.67,0.4518,Premium,0
1046,2023-06-26,2023,6,2,746,2067,Libros,Sur,Retail,16,36.17,0.05,0.55,549.78,302.38,247.4,0.45,0.19,200.39,0.3645,Alto,0
1047,2023-11-06,2023,11,4,120,2213,Deportes,Sur,Corporativo,18,473.5,0.25,0.609,6392.25,3892.88,2499.37,0.391,0.19,2024.49,0.3167,Premium,0
1048,2023-05-16,2023,5,2,266,2217,Alimentos,Sur,Mayorista,9,383.8,0.2,0.422,2763.36,1166.14,1597.22,0.578,0.19,1293.75,0.4682,Premium,0
1049,2023-01-23,2023,1,1,373,2176,Hogar,Centro,Retail,19,366.77,0.25,0.54,5226.47,2822.29,2404.18,0.46,0.19,1947.39,0.3726,Premium,0
1050,2023-08-24,2023,8,3,487,2298,Ropa,Sur,Retail,2,90.57,0.2,0.506,144.91,73.32,71.59,0.494,0.19,57.99,0.4002,Medio,0
1051,2023-10-02,2023,10,4,700,2163,Electrónica,Sur,Retail,1,303.88,0.25,0.484,227.91,110.31,117.6,0.516,0.19,95.26,0.418,Alto,0
1052,2023-03-05,2023,3,1,415,2057,Belleza,Centro,Retail,16,267.21,0.15,0.612,3634.06,2224.04,1410.02,0.388,0.19,1142.12,0.3143,Premium,0
1053,2023-07-13,2023,7,3,113,2268,Ropa,Este,Mayorista,18,491.32,0.1,0.606,7959.38,4823.38,3136.0,0.394,0.21,2477.44,0.3113,Premium,1
1054,2023-02-10,2023,2,1,341,2307,Deportes,Norte,Mayorista,3,375.1,0.2,0.621,900.24,559.05,341.19,0.379,0.19,276.36,0.307,Alto,0
1055,2023-10-10,2023,10,4,445,2057,Electrónica,Centro,Retail,1,290.0,0.0,0.456,290.0,132.24,157.76,0.544,0.19,127.79,0.4407,Alto,0
1056,2023-05-31,2023,5,2,664,2287,Ropa,Centro,Online,6,426.15,0.15,0.5,2173.36,1086.68,1086.68,0.5,0.19,880.21,0.405,Premium,0
1057,2023-11-18,2023,11,4,439,2464,Ropa,Sur,Corporativo,19,81.77,0.05,0.473,1475.95,698.12,777.83,0.527,0.19,630.04,0.4269,Premium,0
1058,2023-11-13,2023,11,4,191,2104,Libros,Sur,Mayorista,19,12.53,0.25,0.589,178.55,105.17,73.38,0.411,0.19,59.44,0.3329,Medio,0
1059,2023-07-05,2023,7,3,466,2227,Belleza,Norte,Mayorista,11,346.67,0.1,0.561,3432.03,1925.37,1506.66,0.439,0.19,1220.39,0.3556,Premium,0
1060,2023-10-23,2023,10,4,554,2246,Deportes,Sur,Online,8,53.66,0.1,0.516,386.35,199.36,186.99,0.484,0.19,151.46,0.392,Alto,0
1061,2023-04-09,2023,4,2,527,2187,Hogar,Oeste,Mayorista,5,62.14,0.25,0.675,233.02,157.29,75.73,0.325,0.18,62.1,0.2665,Alto,0
1062,2023-12-27,2023,12,4,608,2493,Libros,Sur,Online,9,373.62,0.0,0.433,3362.58,1456.0,1906.58,0.567,0.19,1544.33,0.4593,Premium,0
1063,2023-02-05,2023,2,1,134,2082,Electrónica,Sur,Online,15,138.91,0.2,0.741,1666.92,1235.19,431.73,0.259,0.19,349.7,0.2098,Premium,0
1064,2023-01-24,2023,1,1,305,2185,Belleza,Oeste,Retail,14,316.17,0.25,0.441,3319.78,1464.02,1855.76,0.559,0.18,1521.72,0.4584,Premium,0
1065,2023-12-05,2023,12,4,180,2251,Hogar,Norte,Mayorista,4,459.12,0.1,0.671,1652.83,1109.05,543.78,0.329,0.19,440.46,0.2665,Premium,0
1066,2023-04-27,2023,4,2,661,2354,Libros,Oeste,Corporativo,8,161.65,0.0,0.529,1293.2,684.1,609.1,0.471,0.18,499.46,0.3862,Premium,0
1067,2023-05-29,2023,5,2,487,2237,Belleza,Centro,Online,17,112.49,0.0,0.703,1912.33,1344.37,567.96,0.297,0.19,460.05,0.2406,Premium,0
1068,2023-02-10,2023,2,1,101,2359,Deportes,Oeste,Corporativo,2,57.75,0.05,0.426,109.72,46.74,62.98,0.574,0.18,51.64,0.4707,Medio,0
1069,2023-04-30,2023,4,2,489,2183,Alimentos,Este,Retail,16,69.58,0.0,0.531,1113.28,591.15,522.13,0.469,0.21,412.48,0.3705,Premium,0
1070,2023-02-21,2023,2,1,665,2283,Alimentos,Centro,Mayorista,10,35.8,0.15,0.517,304.3,157.32,146.98,0.483,0.19,119.05,0.3912,Alto,0
1071,2023-07-14,2023,7,3,205,2384,Electrónica,Sur,Retail,2,48.38,0.1,0.748,87.08,65.14,21.94,0.252,0.19,17.77,0.2041,Medio,0
1072,2023-05-23,2023,5,2,576,2425,Alimentos,Centro,Retail,11,218.84,0.15,0.745,2046.15,1524.38,521.77,0.255,0.19,422.63,0.2065,Premium,0
1073,2023-08-21,2023,8,3,501,2209,Libros,Norte,Corporativo,10,163.83,0.0,0.466,1638.3,763.45,874.85,0.534,0.19,708.63,0.4325,Premium,0
1074,2023-11-22,2023,11,4,655,2303,Electrónica,Norte,Corporativo,19,354.75,0.0,0.62,6740.25,4178.96,2561.29,0.38,0.19,2074.64,0.3078,Premium,0
1075,2023-07-06,2023,7,3,261,2295,Hogar,Oeste,Online,14,435.77,0.15,0.587,5185.66,3043.98,2141.68,0.413,0.18,1756.18,0.3387,Premium,0
1076,2023-03-25,2023,3,1,301,2096,Deportes,Centro,Mayorista,11,393.46,0.05,0.454,4111.66,1866.69,2244.97,0.546,0.19,1818.43,0.4423,Premium,0
1077,2023-07-09,2023,7,3,369,2446,Electrónica,Sur,Retail,9,267.67,0.0,0.459,2409.03,1105.74,1303.29,0.541,0.19,1055.66,0.4382,Premium,0
1078,2023-07-01,2023,7,3,370,2459,Hogar,Norte,Online,7,55.71,0.15,0.746,331.47,247.28,84.19,0.254,0.19,68.19,0.2057,Alto,0
1079,2023-04-18,2023,4,2,555,2455,Electrónica,Sur,Online,15,356.33,0.15,0.558,4543.21,2535.11,2008.1,0.442,0.19,1626.56,0.358,Premium,0
1080,2023-12-10,2023,12,4,561,2471,Ropa,Este,Retail,17,184.6,0.1,0.444,2824.38,1254.02,1570.36,0.556,0.21,1240.58,0.4392,Premium,0
1081,2023-05-17,2023,5,2,351,2207,Ropa,Norte,Retail,3,47.4,0.05,0.475,135.09,64.17,70.92,0.525,0.19,57.45,0.4253,Medio,0
1082,2023-12-26,2023,12,4,395,2369,Electrónica,Oeste,Online,15,422.02,0.2,0.494,5064.24,2501.73,2562.51,0.506,0.18,2101.26,0.4149,Premium,0
1083,2023-12-16,2023,12,4,437,2387,Belleza,Este,Retail,14,172.42,0.15,0.579,2051.8,1187.99,863.81,0.421,0.21,682.41,0.3326,Premium,0
1084,2023-11-28,2023,11,4,152,2421,Alimentos,Centro,Retail,8,113.03,0.1,0.517,813.82,420.74,393.08,0.483,0.19,318.39,0.3912,Alto,0
1085,2023-02-06,2023,2,1,316,2491,Ropa,Sur,Corporativo,4,436.37,0.2,0.559,1396.38,780.58,615.8,0.441,0.19,498.8,0.3572,Premium,0
1086,2023-11-08,2023,11,4,287,2410,Belleza,Norte,Mayorista,10,451.56,0.1,0.458,4064.04,1861.33,2202.71,0.542,0.19,1784.2,0.439,Premium,0
1087,2023-11-22,2023,11,4,479,2136,Belleza,Este,Online,2,172.79,0.1,0.514,311.02,159.86,151.16,0.486,0.21,119.42,0.384,Alto,0
1088,2023-03-29,2023,3,1,592,2366,Deportes,Este,Retail,14,180.63,0.25,0.425,1896.61,806.06,1090.55,0.575,0.21,861.53,0.4542,Premium,0
1089,2023-10-01,2023,10,4,140,2399,Hogar,Norte,Online,8,291.92,0.05,0.711,2218.59,1577.42,641.17,0.289,0.19,519.35,0.2341,Premium,0
1090,2023-05-06,2023,5,2,256,2183,Libros,Centro,Mayorista,10,368.05,0.0,0.47,3680.5,1729.83,1950.67,0.53,0.19,1580.04,0.4293,Premium,0
1091,2023-03-25,2023,3,1,114,2075,Ropa,Centro,Online,18,36.26,0.05,0.665,620.05,412.33,207.72,0.335,0.19,168.25,0.2713,Alto,0
1092,2023-08-25,2023,8,3,164,2286,Electrónica,Oeste,Online,15,298.71,0.2,0.522,3584.52,1871.12,1713.4,0.478,0.18,1404.99,0.392,Premium,0
1093,2023-07-14,2023,7,3,620,2471,Alimentos,Centro,Online,5,476.65,0.25,0.566,1787.44,1011.69,775.75,0.434,0.19,628.36,0.3515,Premium,0
1094,2023-05-19,2023,5,2,443,2374,Libros,Oeste,Corporativo,13,134.74,0.05,0.502,1664.04,835.35,828.69,0.498,0.18,679.53,0.4084,Premium,0
1095,2023-11-24,2023,11,4,228,2141,Hogar,Este,Mayorista,18,454.87,0.0,0.644,8187.66,5272.85,2914.81,0.356,0.21,2302.7,0.2812,Premium,1
1096,2023-12-19,2023,12,4,747,2236,Belleza,Norte,Mayorista,2,260.065,0.05,0.696,494.12,343.91,150.21,0.304,0.19,121.67,0.2462,Alto,0
1097,2023-10-13,2023,10,4,571,2024,Hogar,Centro,Online,13,138.23,0.05,0.5,1707.14,853.57,853.57,0.5,0.19,691.39,0.405,Premium,0
1098,2023-04-23,2023,4,2,162,2289,Ropa,Oeste,Online,14,378.33,0.05,0.485,5031.79,2440.42,2591.37,0.515,0.18,2124.92,0.4223,Premium,0
1099,2023-12-17,2023,12,4,238,2066,Hogar,Este,Mayorista,10,123.19,0.15,0.639,1047.12,669.11,378.01,0.361,0.21,298.63,0.2852,Premium,0
1100,2023-06-16,2023,6,2,598,2249,Hogar,Centro,Retail,4,370.12,0.15,0.468,1258.41,588.94,669.47,0.532,0.19,542.27,0.4309,Premium,0
1101,2023-01-29,2023,1,1,692,2407,Alimentos,Sur,Corporativo,15,399.72,0.05,0.624,5696.01,3554.31,2141.7,0.376,0.19,1734.78,0.3046,Premium,0
1102,2023-04-28,2023,4,2,491,2117,Belleza,Este,Mayorista,8,127.37,0.0,0.433,1018.96,441.21,577.75,0.567,0.21,456.42,0.4479,Premium,0
1103,2023-01-17,2023,1,1,774,2489,Alimentos,Centro,Online,15,359.36,0.0,0.617,5390.4,3325.88,2064.52,0.383,0.19,1672.26,0.3102,Premium,0
1104,2023-06-11,2023,6,2,518,2072,Alimentos,Este,Retail,14,406.99,0.0,0.58,5697.86,3304.76,2393.1,0.42,0.21,1890.55,0.3318,Premium,0
1105,2023-07-25,2023,7,3,388,2281,Electrónica,Norte,Retail,9,182.5,0.1,0.44,1478.25,650.43,827.82,0.56,0.19,670.53,0.4536,Premium,0
1106,2023-05-18,2023,5,2,478,2403,Hogar,Norte,Retail,3,88.01,0.25,0.627,198.02,124.16,73.86,0.373,0.19,59.83,0.3021,Medio,0
1107,2023-02-03,2023,2,1,589,2447,Hogar,Norte,Corporativo,15,50.52,0.15,0.556,644.13,358.14,285.99,0.444,0.19,231.65,0.3596,Alto,0
1108,2023-04-19,2023,4,2,330,2359,Hogar,Sur,Corporativo,17,289.81,0.1,0.476,4434.09,2110.63,2323.46,0.524,0.19,1882.0,0.4244,Premium,0
1109,2023-10-18,2023,10,4,140,2009,Deportes,Norte,Mayorista,16,489.16,0.05,0.524,7435.23,3896.06,3539.17,0.476,0.19,2866.73,0.3856,Premium,1
1110,2023-06-11,2023,6,2,127,2210,Alimentos,Sur,Mayorista,4,412.36,0.05,0.572,1566.97,896.31,670.66,0.428,0.19,543.23,0.3467,Premium,0
1111,2023-04-19,2023,4,2,234,2322,Libros,Norte,Mayorista,11,220.74,0.1,0.432,2185.33,944.06,1241.27,0.568,0.19,1005.43,0.4601,Premium,0
1112,2023-12-02,2023,12,4,300,2151,Ropa,Este,Mayorista,8,270.63,0.0,0.735,2165.04,1591.3,573.74,0.265,0.21,453.25,0.2093,Premium,0
1113,2023-09-13,2023,9,3,132,2004,Belleza,Centro,Online,3,143.37,0.2,0.633,344.09,217.81,126.28,0.367,0.19,102.29,0.2973,Alto,0
1114,2023-07-22,2023,7,3,147,2194,Libros,Centro,Corporativo,19,85.72,0.2,0.436,1302.94,568.08,734.86,0.564,0.19,595.24,0.4568,Premium,0
1115,2023-11-26,2023,11,4,602,2441,Belleza,Norte,Retail,14,243.63,0.1,0.688,3069.74,2111.98,957.76,0.312,0.19,775.79,0.2527,Premium,0
1116,2023-08-23,2023,8,3,506,2282,Electrónica,Centro,Online,9,234.43,0.2,0.513,1687.9,865.89,822.01,0.487,0.19,665.83,0.3945,Premium,0
1117,2023-03-15,2023,3,1,673,2463,Electrónica,Norte,Mayorista,3,263.36,0.15,0.609,671.57,408.99,262.58,0.391,0.19,212.69,0.3167,Alto,0
1118,2023-05-16,2023,5,2,198,2112,Belleza,Norte,Mayorista,4,476.64,0.05,0.497,1811.23,900.18,911.05,0.503,0.19,737.95,0.4074,Premium,0
1119,2023-03-13,2023,3,1,783,2270,Hogar,Oeste,Online,4,303.93,0.2,0.657,972.58,638.99,333.59,0.343,0.18,273.54,0.2813,Alto,0
1120,2023-05-07,2023,5,2,646,2162,Libros,Oeste,Retail,11,304.86,0.25,0.653,2515.1,1642.36,872.74,0.347,0.18,715.65,0.2845,Premium,0
1121,2023-10-15,2023,10,4,712,2459,Hogar,Oeste,Corporativo,19,68.37,0.25,0.593,974.27,577.74,396.53,0.407,0.18,325.15,0.3337,Alto,0
1122,2023-10-03,2023,10,4,561,2104,Deportes,Sur,Corporativo,16,498.26,0.15,0.484,6776.34,3279.75,3496.59,0.516,0.19,2832.24,0.418,Premium,0
1123,2023-05-15,2023,5,2,742,2180,Electrónica,Oeste,Retail,17,387.56,0.05,0.489,6259.09,3060.7,3198.39,0.511,0.18,2622.68,0.419,Premium,0
1124,2023-10-27,2023,10,4,104,2043,Electrónica,Norte,Corporativo,10,439.22,0.15,0.534,3733.37,1993.62,1739.75,0.466,0.19,1409.2,0.3775,Premium,0
1125,2023-08-08,2023,8,3,317,2281,Libros,Este,Mayorista,17,210.08,0.05,0.451,3392.79,1530.15,1862.64,0.549,0.21,1471.49,0.4337,Premium,0
1126,2023-10-26,2023,10,4,602,2174,Electrónica,Oeste,Mayorista,16,253.55,0.05,0.518,3853.96,1996.35,1857.61,0.482,0.18,1523.24,0.3952,Premium,0
1127,2023-07-24,2023,7,3,497,2161,Deportes,Oeste,Mayorista,6,263.43,0.2,0.64,1264.46,809.25,455.21,0.36,0.18,373.27,0.2952,Premium,0
1128,2023-07-05,2023,7,3,492,2470,Deportes,Este,Mayorista,7,101.08,0.25,0.691,530.67,366.69,163.98,0.309,0.21,129.54,0.2441,Alto,0
1129,2023-04-23,2023,4,2,306,2350,Deportes,Norte,Retail,14,346.3,0.1,0.516,4363.38,2251.5,2111.88,0.484,0.19,1710.62,0.392,Premium,0
1130,2023-03-12,2023,3,1,114,2433,Ropa,Sur,Corporativo,11,451.97,0.2,0.482,3977.34,1917.08,2060.26,0.518,0.19,1668.81,0.4196,Premium,0
1131,2023-09-18,2023,9,3,653,2339,Deportes,Oeste,Corporativo,12,86.03,0.0,0.691,1032.36,713.36,319.0,0.309,0.18,261.58,0.2534,Premium,0
1132,2023-09-10,2023,9,3,560,2139,Deportes,Este,Online,14,47.73,0.15,0.712,567.99,404.41,163.58,0.288,0.21,129.23,0.2275,Alto,0
1133,2023-02-16,2023,2,1,790,2470,Ropa,Norte,Retail,5,370.42,0.0,0.544,1852.1,1007.54,844.56,0.456,0.19,684.09,0.3694,Premium,0
1134,2023-01-25,2023,1,1,674,2131,Hogar,Centro,Corporativo,5,140.23,0.05,0.409,666.09,272.43,393.66,0.591,0.19,318.86,0.4787,Alto,0
1135,2023-02-26,2023,2,1,340,2086,Alimentos,Sur,Corporativo,15,313.81,0.2,0.643,3765.72,2421.36,1344.36,0.357,0.19,1088.93,0.2892,Premium,0
1136,2023-03-20,2023,3,1,663,2175,Electrónica,Este,Online,1,349.4,0.0,0.674,349.4,235.5,113.9,0.326,0.21,89.98,0.2575,Alto,0
1137,2023-11-18,2023,11,4,195,2182,Deportes,Este,Mayorista,9,164.35,0.0,0.406,1479.15,600.53,878.62,0.594,0.21,694.11,0.4693,Premium,0
1138,2023-03-23,2023,3,1,584,2367,Electrónica,Este,Corporativo,3,408.5,0.25,0.608,919.12,558.82,360.3,0.392,0.21,284.64,0.3097,Alto,0
1139,2023-12-15,2023,12,4,506,2128,Libros,Oeste,Mayorista,4,277.24,0.0,0.606,1108.96,672.03,436.93,0.394,0.18,358.28,0.3231,Premium,0
1140,2023-08-05,2023,8,3,330,2245,Electrónica,Centro,Online,16,435.15,0.25,0.533,5221.8,2783.22,2438.58,0.467,0.19,1975.25,0.3783,Premium,0
1141,2023-11-02,2023,11,4,754,2088,Belleza,Sur,Corporativo,7,382.83,0.25,0.662,2009.86,1330.53,679.33,0.338,0.19,550.26,0.2738,Premium,0
1142,2023-02-02,2023,2,1,270,2065,Hogar,Norte,Mayorista,14,434.94,0.05,0.55,5784.7,3181.58,2603.12,0.45,0.19,2108.53,0.3645,Premium,0
1143,2023-07-17,2023,7,3,640,2157,Ropa,Norte,Retail,16,14.98,0.25,0.637,179.76,114.51,65.25,0.363,0.19,52.85,0.294,Medio,0
1144,2023-07-15,2023,7,3,135,2386,Electrónica,Centro,Mayorista,18,125.54,0.05,0.581,2146.73,1247.25,899.48,0.419,0.19,728.58,0.3394,Premium,0
1145,2023-11-02,2023,11,4,624,2377,Electrónica,Este,Mayorista,16,49.55,0.25,0.487,594.6,289.57,305.03,0.513,0.21,240.97,0.4053,Alto,0
1146,2023-08-28,2023,8,3,259,2148,Electrónica,Este,Mayorista,16,267.935,0.25,0.612,3215.22,1967.71,1247.51,0.388,0.21,985.53,0.3065,Premium,0
1147,2023-09-28,2023,9,3,798,2472,Alimentos,Este,Mayorista,2,445.53,0.05,0.658,846.51,557.0,289.51,0.342,0.21,228.71,0.2702,Alto,0
1148,2023-05-09,2023,5,2,342,2339,Alimentos,Este,Retail,10,236.43,0.0,0.741,2364.3,1751.95,612.35,0.259,0.21,483.76,0.2046,Premium,0
1149,2023-10-11,2023,10,4,185,2432,Libros,Este,Online,7,425.61,0.15,0.533,2532.38,1349.76,1182.62,0.467,0.21,934.27,0.3689,Premium,0
1150,2023-01-06,2023,1,1,677,2115,Ropa,Centro,Mayorista,15,166.95,0.2,0.423,2003.4,847.44,1155.96,0.577,0.19,936.33,0.4674,Premium,0
1151,2023-12-15,2023,12,4,781,2213,Electrónica,Oeste,Mayorista,9,173.09,0.2,0.746,1246.25,929.7,316.55,0.254,0.18,259.57,0.2083,Premium,0
1152,2023-02-28,2023,2,1,656,2468,Electrónica,Sur,Corporativo,7,448.3,0.05,0.618,2981.2,1842.38,1138.82,0.382,0.19,922.44,0.3094,Premium,0
1153,2023-12-16,2023,12,4,673,2445,Electrónica,Este,Corporativo,16,215.78,0.0,0.731,3452.48,2523.76,928.72,0.269,0.21,733.69,0.2125,Premium,0
1154,2023-10-02,2023,10,4,745,2480,Electrónica,Oeste,Retail,3,395.93,0.15,0.436,1009.62,440.19,569.43,0.564,0.18,466.93,0.4625,Premium,0
1155,2023-05-17,2023,5,2,127,2371,Alimentos,Norte,Retail,17,122.14,0.1,0.52,1868.74,971.74,897.0,0.48,0.19,726.57,0.3888,Premium,0
1156,2023-11-25,2023,11,4,719,2293,Hogar,Centro,Retail,8,474.66,0.05,0.447,3607.42,1612.52,1994.9,0.553,0.19,1615.87,0.4479,Premium,0
1157,2023-06-24,2023,6,2,655,2252,Hogar,Oeste,Corporativo,2,289.42,0.1,0.692,520.96,360.5,160.46,0.308,0.18,131.58,0.2526,Alto,0
1158,2023-02-27,2023,2,1,439,2142,Libros,Este,Mayorista,3,380.87,0.2,0.708,914.09,647.18,266.91,0.292,0.21,210.86,0.2307,Alto,0
